Date,Unemployment Rate,Feds Funds,Industrial Production,Leading Index,Housing Starts,Building Permits,Consumer Sentiment,Close
12/1/2017,4.1,1.3,101.4573,1.48,1177,1312,95.9,264.5
1/1/2018,4,1.41,101.3939,1.55,1299,1311,95.7,273.0
2/1/2018,4.1,1.42,101.7656,1.66,1277,1331,99.7,281.6
3/1/2018,4,1.51,102.2441,1.69,1318,1381,101.4,267.7
4/1/2018,4,1.69,103.3468,1.59,1276,1365,98.8,257.5
5/1/2018,3.8,1.7,102.3911,1.57,1357,1331,98,265.0
6/1/2018,4,1.82,103.1924,1.55,1192,1338,98.2,273.6
7/1/2018,3.8,1.91,103.3334,1.36,1208,1333,97.9,271.9
8/1/2018,3.8,1.91,104.0807,1.46,1288,1293,96.2,280.9
9/1/2018,3.7,1.95,104.1181,1.25,1250,1320,100.1,286.3
10/1/2018,3.8,2.19,103.9397,1.31,1221,1280,98.6,291.7
11/1/2018,3.8,2.2,104.0007,1,1181,1334,97.5,273.5
12/1/2018,3.9,2.27,103.9946,0.99,1095,1320,98.3,279.3
1/1/2019,4,2.4,103.373,1,1232,1254,91.2,274.7
2/1/2019,3.8,2.4,102.8292,1.1,1128,1302,93.8,270.1
3/1/2019,3.8,2.41,102.8286,1.2,1195,1291,98.4,280.4
4/1/2019,3.6,2.42,102.2481,1.4,1267,1298,97.2,285.8
5/1/2019,3.7,2.39,102.4192,1.38,1307,1338,100,291.8
6/1/2019,3.6,2.38,102.4893,1.11,1228,1301,98.2,274.6
7/1/2019,3.7,2.4,102.0236,1.3,1245,1347,98.4,295.7
8/1/2019,3.7,2.13,102.7754,1.32,1367,1528,89.8,294.8
9/1/2019,3.5,2.04,102.5315,1.5,1300,1491,93.2,294.0
10/1/2019,3.6,1.83,101.6022,1.41,1332,1538,95.5,293.2
11/1/2019,3.6,1.55,102.148,1.38,1346,1522,96.8,306.1
12/1/2019,3.6,1.55,101.884,1.48,1551,1461,99.3,311.6
1/1/2020,3.5,1.55,101.3768,1.57,1572,1500,99.8,317.9
2/1/2020,3.5,1.58,101.633,1.72,1565,1440,101,324.1
